NAME
COVENANT COLLEGE
INSTITUTE OF MEDICAL ULTRASOUND
EMORY UNIVERSITY-OXFORD COLLEGE
PRO WAY HAIR SCHOOL
WIREGRASS GEORGIA TECHNICAL COLLEGE
BRENAU UNIVERSITY
WEST GEORGIA TECHNICAL COLLEGE
ATHENS TECHNICAL COLLEGE
CLAYTON STATE UNIVERSITY
GEORGIA SOUTHWESTERN STATE UNIVERSITY
OGLETHORPE UNIVERSITY
CLARK ATLANTA UNIVERSITY
BROWN COLLEGE OF COURT REPORTING
ATLANTA TECHNICAL COLLEGE
GUPTON JONES COLLEGE OF FUNERAL SERVICE
SOUTHERN REGIONAL TECHNICAL COLLEGE
CHAMBERLAIN UNIVERSITY-GEORGIA
PLATT COLLEGE-MILLER-MOTTE TECHNICAL-AUGUSTA
OGEECHEE TECHNICAL COLLEGE
ELAINE STERLING INSTITUTE
SOUTH GEORGIA STATE COLLEGE
ATLANTA INSTITUTE OF MUSIC AND MEDIA
ATLANTA SCHOOL OF MASSAGE
PLATT COLLEGE-MILLER-MOTTE TECHNICAL-MACON
DEVRY UNIVERSITY-GEORGIA
PLATT COLLEGE-MILLER-MOTTE TECHNICAL-COLUMBUS
INTERNATIONAL SCHOOL OF SKIN NAILCARE & MASSAGE THERAPY
UNIVERSITY OF GEORGIA
PAINE COLLEGE
GEORGIA SOUTHERN UNIVERSITY
LIFE UNIVERSITY
DIGITAL FILM ACADEMY - ATLANTA
ATLANTA'S JOHN MARSHALL LAW SCHOOL
GEORGIA PIEDMONT TECHNICAL COLLEGE
YOUNG HARRIS COLLEGE
EMPIRE BEAUTY SCHOOL-NORTHLAKE
INTERACTIVE COLLEGE OF TECHNOLOGY-MORROW
HERZING UNIVERSITY-ATLANTA
THOMAS UNIVERSITY
EMPIRE BEAUTY SCHOOL-KENNESAW
UNIVERSITY OF NORTH GEORGIA
SAVANNAH TECHNICAL COLLEGE
SAE INSTITUTE OF TECHNOLOGY-ATLANTA
GEORGIA CAREER INSTITUTE
KEUNE ACADEMY BY 124
FORT VALLEY STATE UNIVERSITY
THE ART INSTITUTE OF ATLANTA
GWINNETT COLLEGE-MARIETTA CAMPUS
EMMANUEL COLLEGE
LANIER TECHNICAL COLLEGE
COLUMBUS STATE UNIVERSITY
INTERACTIVE COLLEGE OF TECHNOLOGY-CHAMBLEE
VALDOSTA STATE UNIVERSITY
RIVERTOWN SCHOOL OF BEAUTY BARBER SKIN CARE AND NAILS
EMPIRE BEAUTY SCHOOL-GWINNETT
SHORTER UNIVERSITY
MAK BEAUTY INSTITUTE
KENNESAW STATE UNIVERSITY
GWINNETT COLLEGE-LILBURN
GEORGIA COLLEGE & STATE UNIVERSITY
GORDON STATE COLLEGE
WESLEYAN COLLEGE
UNITED EDUCATION INSTITUTE-MORROW
COASTAL PINES TECHNICAL COLLEGE
BERRY COLLEGE
PAUL MITCHELL THE SCHOOL-ATLANTA
DALTON INSTITUTE OF ESTHETICS AND COSMETOLOGY
PROFILE INSTITUTE OF BARBER-STYLING
STRAYER UNIVERSITY-GEORGIA
GEORGIA STATE UNIVERSITY-PERIMETER COLLEGE
UNIVERSITY OF WEST GEORGIA
EMPIRE BEAUTY SCHOOL-AUGUSTA
TRUETT MCCONNELL UNIVERSITY
GEORGIA GWINNETT COLLEGE
ALTIERUS CAREER COLLEGE-NORCROSS
BEULAH HEIGHTS UNIVERSITY
UNIVERSITY OF PHOENIX-GEORGIA
NEW HORIZONS MEDICAL INSTITUTE
LUTHER RICE COLLEGE & SEMINARY
SOUTH UNIVERSITY-SAVANNAH
COLLEGE OF COASTAL GEORGIA
SAVANNAH LAW SCHOOL
NEW HORIZONS MEDICAL INSTITUTE-WINDER
SOUTH GEORGIA TECHNICAL COLLEGE
SAVANNAH STATE UNIVERSITY
REFORMED UNIVERSITY
NATIONAL AMERICAN UNIVERSITY-KINGS BAY
GEORGIA HIGHLANDS COLLEGE
ABRAHAM BALDWIN AGRICULTURAL COLLEGE
CENTRAL GEORGIA TECHNICAL COLLEGE
INTERDENOMINATIONAL THEOLOGICAL CENTER
GEORGIA INSTITUTE OF TECHNOLOGY-MAIN CAMPUS
MOREHOUSE SCHOOL OF MEDICINE
LINCOLN COLLEGE OF TECHNOLOGY-MARIETTA
SOUTH UNIVERSITY-SAVANNAH ONLINE
GEORGIA INSTITUTE OF COSMETOLOGY
COLUMBUS TECHNICAL COLLEGE
EMPIRE BEAUTY SCHOOL-SAVANNAH
WEBB'S BARBER SCHOOL OF ARTS
TOCCOA FALLS COLLEGE
