,Unnamed: 0,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_DESC,VAL_DATE,WEBSITE,LEVEL_,HI_OFFER,LOCALE,CLOSE_DATE,INST_SIZE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,TOT_EMP,DESCRIPTION,LOGO
56,2798,490221,MAK BEAUTY INSTITUTE,570 LAKELAND PLAZA,CUMMING,GA,30040,A,23,FORSYTH,13117,USA,34.18632258500003,-84.14393932399997,COSMETOLOGY AND BARBER SCHOOLS,2018-11-09T00:00:00Z,makbeautyinstitute.com/,3,0,21,-2,1,7,11,18,5,,
58,2849,140003,GWINNETT COLLEGE-LILBURN,4230 HWY 29 STE 11,LILBURN,GA,30047,A,266,GWINNETT,13135,USA,33.90127147100003,-84.12187445799998,JUNIOR COLLEGES,2016-07-26T00:00:00Z,www.gwinnettcollege.edu/,2,40,21,-2,1,85,140,225,41,,
59,2899,139861,GEORGIA COLLEGE & STATE UNIVERSITY,231 W HANCOCK STREET,MILLEDGEVILLE,GA,31061,A,7935,BALDWIN,13009,USA,33.08278672900008,-83.23196177999995,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-08-01T00:00:00Z,www.gcsu.edu/,1,11,32,-2,3,1344,5529,6873,1062,,
60,2900,139968,GORDON STATE COLLEGE,419 COLLEGE DR,BARNESVILLE,GA,30204,A,3547,LAMAR,13171,USA,33.045208272000025,-84.15254815099996,JUNIOR COLLEGES,2016-08-02T00:00:00Z,https://www.gordonstate.edu/,2,30,32,-2,2,1375,1856,3231,316,,
61,2903,141325,WESLEYAN COLLEGE,4760 FORSYTH ROAD,MACON,GA,31210,A,969,BIBB,13021,USA,32.874565268000026,-83.71520241099995,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-08-02T00:00:00Z,https://www.wesleyancollege.edu/,2,20,12,-2,1,246,533,779,190,,
62,2930,413893,UNITED EDUCATION INSTITUTE-MORROW,1564 SOUTHLAKE PARKWAY,MORROW,GA,30260,A,1372,CLAYTON,13063,USA,33.57270871500003,-84.33648665499999,OTHER TECHNICAL AND TRADE SCHOOLS,2018-02-15T00:00:00Z,https://www.uei.edu/,1,0,21,-2,2,-999,1314,1314,58,,
63,2961,485458,COASTAL PINES TECHNICAL COLLEGE,1701 CARSWELL AVE,WAYCROSS,GA,31503,A,3905,WARE,13299,USA,31.21316694600005,-82.38309868699997,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-01-22T00:00:00Z,www.coastalpines.edu/,3,40,33,-2,2,2991,615,3606,299,,
64,2965,139144,BERRY COLLEGE,2277 MARTHA BERRY HWY NW,MOUNT BERRY,GA,30149,A,2693,FLOYD,13115,USA,34.289254,-85.189077,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-07-25T00:00:00Z,https://www.berry.edu/,2,20,23,-2,2,92,2033,2125,568,,
65,2976,454926,PAUL MITCHELL THE SCHOOL-ATLANTA,887 WEST MARIETTA STREET SUITE A,ATLANTA,GA,30318,A,327,FULTON,13121,USA,33.78252764300004,-84.41627348499998,COSMETOLOGY AND BARBER SCHOOLS,2016-08-02T00:00:00Z,paulmitchell.edu/atlanta,1,0,11,-2,1,37,261,298,29,,
66,3052,487959,DALTON INSTITUTE OF ESTHETICS AND COSMETOLOGY,100 WEST WALNUT AVENUE,DALTON,GA,30720,A,92,WHITFIELD,13313,USA,34.762676,-84.970369,COSMETOLOGY AND BARBER SCHOOLS,2022-05-25T00:00:00Z,www.daltoninstitute.com/,2,0,13,-2,1,38,39,77,15,,
67,3054,457466,PROFILE INSTITUTE OF BARBER-STYLING,26 CLEVELAND AVE SE,ATLANTA,GA,30315,A,41,FULTON,13121,USA,33.681386547000045,-84.38816768099997,COSMETOLOGY AND BARBER SCHOOLS,2016-05-23T00:00:00Z,profileinstitute.com/,1,0,11,-2,1,-999,32,32,9,,
68,3061,458919,STRAYER UNIVERSITY-GEORGIA,"3355 NORTHEAST EXPWY, STE 100",ATLANTA,GA,30341,A,7441,DEKALB,13089,USA,33.874235843000065,-84.27562375299999,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-05-25T00:00:00Z,www.strayer.edu/campus-locations,1,20,21,-2,3,6757,684,7441,-999,,
71,3075,481678,EMPIRE BEAUTY SCHOOL-AUGUSTA,3241 WASHINGTON ROAD,AUGUSTA,GA,30907,A,98,RICHMOND,13245,USA,33.51676637400004,-82.06574983799999,COSMETOLOGY AND BARBER SCHOOLS,2015-09-02T00:00:00Z,www.empire.edu/,1,0,12,-2,1,42,48,90,8,,
72,3096,141237,TRUETT MCCONNELL UNIVERSITY,100 ALUMNI DR,CLEVELAND,GA,30528,A,3226,WHITE,13311,USA,34.596182802000044,-83.74886133199999,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2015-11-17T00:00:00Z,https://truett.edu/,1,20,32,-2,2,2007,916,2923,303,,
74,3231,443748,ALTIERUS CAREER COLLEGE-NORCROSS,1750 BEAVER RUIN RD-STE 500,NORCROSS,GA,30093,A,750,GWINNETT,13135,USA,33.934120578000034,-84.15547489199997,JUNIOR COLLEGES,2016-08-01T00:00:00Z,https://www.altierus.edu/,1,40,21,-2,1,17,667,684,66,,
75,3293,139153,BEULAH HEIGHTS UNIVERSITY,892 BERNE ST SE,ATLANTA,GA,30316,A,671,FULTON,13121,USA,33.73699273700004,-84.35767956799998,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-08-02T00:00:00Z,www.beulah.edu/,3,12,11,-2,1,260,305,565,106,,
76,3442,484677,UNIVERSITY OF PHOENIX-GEORGIA,859 MOUNT VERNON HIGHWAY,ATLANTA,GA,30328,A,27,FULTON,13121,USA,33.98000321500007,-84.34156477899995,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-01-22T00:00:00Z,https://www.phoenix.edu/,3,20,12,-2,1,-999,27,27,-999,,
78,3683,135364,LUTHER RICE COLLEGE & SEMINARY,3038 EVANS MILL ROAD,LITHONIA,GA,30038,A,755,DEKALB,13089,USA,33.69798390400007,-84.12364813199997,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-07-25T00:00:00Z,www.lutherrice.edu/,1,12,21,-2,1,570,123,693,62,,
