,Unnamed: 0,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_DESC,VAL_DATE,WEBSITE,LEVEL_,HI_OFFER,LOCALE,CLOSE_DATE,INST_SIZE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,TOT_EMP,DESCRIPTION,LOGO
24,1310,482468,DEVRY UNIVERSITY-GEORGIA,"1 WEST COURT SQUARE, STE. 600",DECATUR,GA,30030,A,1138,DEKALB,13089,USA,33.77510548700008,-84.29739848099996,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2015-09-03T00:00:00Z,https://www.devry.edu/,3,20,21,-2,2,516,497,1013,125,,
25,1324,458441,PLATT COLLEGE-MILLER-MOTTE TECHNICAL-COLUMBUS,1800 BOX RD,COLUMBUS,GA,31907,A,420,MUSCOGEE,13215,USA,32.479997326000046,-84.93591166999994,JUNIOR COLLEGES,2016-05-24T00:00:00Z,https://www.miller-motte.edu/,1,40,12,-2,1,7,369,376,44,,
26,1357,365091,INTERNATIONAL SCHOOL OF SKIN NAILCARE & MASSAGE THERAPY,5600 ROSWELL RD NE STE 10,ATLANTA,GA,30342,A,308,FULTON,13121,USA,33.90585602300007,-84.38047683899998,COSMETOLOGY AND BARBER SCHOOLS,2016-06-24T00:00:00Z,issnschoolspa.com/,1,0,12,-2,1,-999,285,285,23,,
28,1420,140720,PAINE COLLEGE,1235 15TH ST,AUGUSTA,GA,30901,A,298,RICHMOND,13245,USA,33.46951272900003,-81.99309267899997,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-08-02T00:00:00Z,www.paine.edu/,1,30,12,-2,1,34,155,189,109,,
30,1583,140252,LIFE UNIVERSITY,1269 BARCLAY CIRCLE,MARIETTA,GA,30060,A,3301,COBB,13067,USA,33.93210406600008,-84.51415613799998,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-08-01T00:00:00Z,www.life.edu/,1,13,13,-2,2,363,2398,2761,540,,
32,1663,138929,ATLANTA'S JOHN MARSHALL LAW SCHOOL,1422 WEST PEACHTREE STREET NW,ATLANTA,GA,30309,A,375,FULTON,13121,USA,33.79339392600008,-84.38789834699998,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-06-08T00:00:00Z,www.johnmarshall.edu/,1,13,11,-2,1,125,174,299,76,,
33,1691,244446,GEORGIA PIEDMONT TECHNICAL COLLEGE,495 N INDIAN CREEK DR,CLARKSTON,GA,30021,A,3169,DEKALB,13089,USA,33.78989836000005,-84.23450392199999,JUNIOR COLLEGES,2016-07-07T00:00:00Z,www.gptc.edu/,3,40,21,-2,2,1999,616,2615,554,,
34,1902,141361,YOUNG HARRIS COLLEGE,1 COLLEGE STREET,YOUNG HARRIS,GA,30582,A,1673,TOWNS,13281,USA,34.93316,-83.847765,JUNIOR COLLEGES,2016-07-26T00:00:00Z,www.yhc.edu/,1,20,43,-2,2,475,942,1417,256,,
35,1983,486691,EMPIRE BEAUTY SCHOOL-NORTHLAKE,"BRIARCLIFF VILLAGE, 2190 HENDERSON MILL ROAD",ATLANTA,GA,30345,A,130,DEKALB,13089,USA,33.847927,-84.257041,COSMETOLOGY AND BARBER SCHOOLS,2018-02-19T00:00:00Z,www.empire.edu/,2,0,21,-2,1,34,88,122,8,,
36,1999,138664,INTERACTIVE COLLEGE OF TECHNOLOGY-MORROW,1580 SOUTHLAKE PARKWAY SUITE C,MORROW,GA,30260,A,102,CLAYTON,13063,USA,33.572330169000054,-84.33609784399994,JUNIOR COLLEGES,2016-07-25T00:00:00Z,ict.edu/,2,40,21,-2,1,-999,90,90,12,,
